model,country,feature,importance
LogReg,Haiti_DHS_2016-2017,b4,0.021218340646340067
LogReg,Haiti_DHS_2016-2017,h31,0.013253278849963437
LogReg,Haiti_DHS_2016-2017,hw70,0.11252894305170233
LogReg,Haiti_DHS_2016-2017,v012,0.02965046823461294
LogReg,Haiti_DHS_2016-2017,v212,0.06049931823026075
LogReg,Haiti_DHS_2016-2017,hw72,0.009156599132686561
LogReg,Haiti_DHS_2016-2017,v190,0.13597868266113655
LogReg,Haiti_DHS_2016-2017,v040,0.12686213140527366
LogReg,Haiti_DHS_2016-2017,h22,0.002300560563602668
LogReg,Haiti_DHS_2016-2017,h11,0.05114369817119094
LogReg,Haiti_DHS_2016-2017,h43,0.025183997746083424
LogReg,Haiti_DHS_2016-2017,h34,0.004478691323054346
LogReg,Haiti_DHS_2016-2017,v191,0.09110920752386156
LogReg,Haiti_DHS_2016-2017,v113,0.018046175975481915
LogReg,Haiti_DHS_2016-2017,v116,0.0981046840771668
LogReg,Haiti_DHS_2016-2017,v106,0.04252035888119837
LogReg,Haiti_DHS_2016-2017,v025,0.02155297013993505
LogReg,Haiti_DHS_2016-2017,v201,0.004567101205062124
LogReg,Haiti_DHS_2016-2017,m13,0.0038274437850697746
LogReg,Haiti_DHS_2016-2017,v463z,0.008993272806924075
LogReg,Haiti_DHS_2016-2017,v151,0.016089099221928478
LightGBM,Haiti_DHS_2016-2017,hw1,0.47101290196959456
LightGBM,Haiti_DHS_2016-2017,b4,0.026154039840163058
LightGBM,Haiti_DHS_2016-2017,h31,0.016871984858565357
LightGBM,Haiti_DHS_2016-2017,hw70,0.1535665111508689
LightGBM,Haiti_DHS_2016-2017,v012,0.08033897175813162
LightGBM,Haiti_DHS_2016-2017,v212,0.05342700709748971
LightGBM,Haiti_DHS_2016-2017,hw72,0.050863713746712044
LightGBM,Haiti_DHS_2016-2017,v190,0.009244998777034372
LightGBM,Haiti_DHS_2016-2017,v040,0.2097858409774821
LightGBM,Haiti_DHS_2016-2017,h22,0.0075624956381533685
LightGBM,Haiti_DHS_2016-2017,h11,0.07134315671971271
LightGBM,Haiti_DHS_2016-2017,h43,0.030025813864208
LightGBM,Haiti_DHS_2016-2017,h34,0.01596210209934599
LightGBM,Haiti_DHS_2016-2017,v191,0.07741438888042292
LightGBM,Haiti_DHS_2016-2017,v113,0.02553580409145998
LightGBM,Haiti_DHS_2016-2017,v116,0.041081962159090185
LightGBM,Haiti_DHS_2016-2017,v106,0.043527384656599666
LightGBM,Haiti_DHS_2016-2017,v025,0.008820613829329783
LightGBM,Haiti_DHS_2016-2017,v201,0.06900835100287224
LightGBM,Haiti_DHS_2016-2017,m13,0.05444760535366365
LightGBM,Haiti_DHS_2016-2017,v463z,0.01216163692091586
LightGBM,Haiti_DHS_2016-2017,v151,0.010490898323893803
XGBoost,Haiti_DHS_2016-2017,hw1,0.4147101044654846
XGBoost,Haiti_DHS_2016-2017,b4,0.0057324920780956745
XGBoost,Haiti_DHS_2016-2017,h31,0.0005976564134471118
XGBoost,Haiti_DHS_2016-2017,hw70,0.12744756042957306
XGBoost,Haiti_DHS_2016-2017,v012,0.04853079468011856
XGBoost,Haiti_DHS_2016-2017,v212,0.03622228652238846
XGBoost,Haiti_DHS_2016-2017,hw72,0.02425321750342846
XGBoost,Haiti_DHS_2016-2017,v190,0.0
XGBoost,Haiti_DHS_2016-2017,v040,0.17524701356887817
XGBoost,Haiti_DHS_2016-2017,h22,0.0007778487633913755
XGBoost,Haiti_DHS_2016-2017,h11,0.04190296307206154
XGBoost,Haiti_DHS_2016-2017,h43,0.01657070219516754
XGBoost,Haiti_DHS_2016-2017,h34,0.001902773859910667
XGBoost,Haiti_DHS_2016-2017,v191,0.05858466029167175
XGBoost,Haiti_DHS_2016-2017,v113,0.005445363000035286
XGBoost,Haiti_DHS_2016-2017,v116,0.012788493186235428
XGBoost,Haiti_DHS_2016-2017,v106,0.02255924977362156
XGBoost,Haiti_DHS_2016-2017,v025,0.00650401646271348
XGBoost,Haiti_DHS_2016-2017,v201,0.05041353031992912
XGBoost,Haiti_DHS_2016-2017,m13,0.028338827192783356
XGBoost,Haiti_DHS_2016-2017,v463z,0.0004473232838790864
XGBoost,Haiti_DHS_2016-2017,v151,0.0013547430280596018
TabPFN,Haiti_DHS_2016-2017,hw1,0.028199864818152575
TabPFN,Haiti_DHS_2016-2017,b4,-0.0022804366386957485
TabPFN,Haiti_DHS_2016-2017,h31,3.239230569715978e-05
TabPFN,Haiti_DHS_2016-2017,hw70,-0.0023990303330541527
